"transaction_hash","block_number","delegator_key"
"0x1173a59466133a3b5de90a156362587aa825b8f913ba5c7ca4bc887db7a2fe16","37760814","0x0932e8f66e7170ca5c586cf9471eca9dd7662125b1b9a69d7a1b24a35712e0ea"
"0x29ee31b891baebfb805622a9e76d283c9efe509b036615d5c8196504a8c6f370","37760826","0x0932e8f66e7170ca5c586cf9471eca9dd7662125b1b9a69d7a1b24a35712e0ea"
"0x9a1e4a34cca29ad0a8f62f56882ef3bfb8504464167d579b73f75904a192d0a2","37760844","0x0932e8f66e7170ca5c586cf9471eca9dd7662125b1b9a69d7a1b24a35712e0ea"
"0x8cea4f6fba71c59f05f075ed093f5c6c094040c30543f35a4cf64a6d3b044955","37761858","0xad35f4506a34b432aa1f0c8c280d86f8a3720369311bfd4a23c1165a0c0cf5ff"
"0x96da73757107d05f7cdc29667f83838701ab60b7fef86010f8008738fac61761","37762026","0x0cff6bd5ddebe612e11371aa04a3fb847077cf2e8bd68db803549d44d0d1151b"
"0xda34d7e64d664b23465fba60998a18e6029089bae256d4a6465d37107b4a83a5","37764699","0xc25556f0d53e7f7fa5b64a98455007d915d191d74b353b777382630639480993"
"0xd06990aacc7069511d8f45ea8ab78fd190806b0fbc2f527d44f43dad269fa82c","37764709","0xc25556f0d53e7f7fa5b64a98455007d915d191d74b353b777382630639480993"
"0x1b2f7ac9d6312dc9f6933b72e43cb9f3cfdde9f297ca67d2950058beeb849dd4","37764720","0xc25556f0d53e7f7fa5b64a98455007d915d191d74b353b777382630639480993"
"0x857f8a2917ca44a1c573b43e229254c46b6e54c6c6a4627698ecd74a56b609c5","37764726","0xc25556f0d53e7f7fa5b64a98455007d915d191d74b353b777382630639480993"
"0x13dd48291f7704647935ece8fe342c8b33e75db951b2351babb7129fb2e2e618","37764738","0xc25556f0d53e7f7fa5b64a98455007d915d191d74b353b777382630639480993"
"0xb0657fdcff2ab173705634fcab90844a794c658eade003181c684cec62c8fb87","37767029","0x4247f4d60521fec626eb3927db918c70128a42954658116845bd5ba67a7e7cfc"
"0x5a0f7b70589abc3dbba05e1058373ec607c6a462ae198a11cfdd3902c4c4476a","37767044","0x4247f4d60521fec626eb3927db918c70128a42954658116845bd5ba67a7e7cfc"
"0xf0c0b5e491941e52de050e5f80551e96e207ed08af16d4c204e482837f8b6057","37767245","0x4247f4d60521fec626eb3927db918c70128a42954658116845bd5ba67a7e7cfc"
"0x6bd40d35026df34251279766bc2e0556b879b57a11c97c607f0bb867aa25335c","37767395",NULL
"0xf12c45aba3d47790cc820b37475f5b8a22dd464fd8139f4ccb72f0a9880d884f","37767401",NULL
"0x5c5768acde793352d7bec3a1e8f0c9711d312ced98fe3dd5ce5caa873b52b852","37769879","0xad886aed7861d0419cdda43d67b51fba07a2e2aa95236a1326a9a33f1f9813fd"
"0xd8aa0c9ac18002d6d3d5783a65113cc3f91e05906510cd9662f2234c5ecdd8f8","37769893","0xad886aed7861d0419cdda43d67b51fba07a2e2aa95236a1326a9a33f1f9813fd"
"0x68b2eab1dfc52f6614eebe2eaa3b8ce7bcf227ce6c7e05cf403663878ba65554","37769909","0xad886aed7861d0419cdda43d67b51fba07a2e2aa95236a1326a9a33f1f9813fd"
"0x33dcbf2601f0373d39c263445b608e6b6faf9211dad5db087904015f12f44417","37769936","0xad886aed7861d0419cdda43d67b51fba07a2e2aa95236a1326a9a33f1f9813fd"
"0x4b82bee93b852b045ec6e1bc500631583a2ce7311babbacebb75cddf7641c2ab","37769943","0xad886aed7861d0419cdda43d67b51fba07a2e2aa95236a1326a9a33f1f9813fd"
"0xe81b52573e2dd61a79603d23e42e5c150b0d11bfcc2440645ad1bcc814be0a08","37770698","0xbd461b5b7dd325593ec7f57744e7165058cf79edcee07e0efa15df0a9db5aa31"
"0x27585824261e3de0a08c7caa3c83fdae402650b92ea9a7051f1e01310f59a9d8","37772312","0xd0b4da4df15a8b0e0b1901f05af18272ed5fd379d6b3a09fd45a135746f1c56a"
"0x45a870a783177a25de823e52482f18fb0ac8729c9e8cc0f7e348d5db01cc5a2c","37772323","0xd0b4da4df15a8b0e0b1901f05af18272ed5fd379d6b3a09fd45a135746f1c56a"
"0x1d45c2a4b25fc482488febbde459eaea7f1a22e990cd3a4c2af2dc2f5a9d0583","37773115","0xc42b975de5c811b91d840d5a90d822d8aba00510fd472a573a4ad4fe0e3bf4e2"
"0x97dc076b3baa7d9aaa02422feb53d1b4dc3a8faf3197d327f630c033ab66870a","37776114","0x50b7d144319e661072f486b8c56ef6e75cba77e9c6ec1672dc177221486ac6df"
"0x0836b9492948e2eea9fe0fd025d73ae9d073a9e087c335dc328db22cc1fbb37c","37776120","0x50b7d144319e661072f486b8c56ef6e75cba77e9c6ec1672dc177221486ac6df"
"0x344d6a3129e80b3c94b9a33fae789d39343b1d231c9470136eebcf7f3e5e9d7f","37776772","0xa97bf7843dbdba2b944bc8129b8489560c150d5b47bf33276a192451d7fbeffe"
"0x75295ee5d5563009858e6c94eb0cfceda2038e116a8b164a9d2e2b745907736f","37776779","0xa97bf7843dbdba2b944bc8129b8489560c150d5b47bf33276a192451d7fbeffe"
"0x2db29f781fd1cc5e5e03e99ab72e558e8153eb6c5ca0ae9a56d7cc344a7ab22b","37776791","0xa97bf7843dbdba2b944bc8129b8489560c150d5b47bf33276a192451d7fbeffe"
"0x0eab3e932223cd50d369d548d3ec955b925f2431206334499bcb2e8ada44189e","37776797",NULL
"0x4bc0587ecc75889106bf85d9f0ec558d976d83c93d286cfd18d3ca7700f60a8d","37776811","0xcbb4b0cdc47df4a5fe3664c488654cb3203ba96fb082a72c58a8c9e3f4f041df"
"0x67b55ca4be8cec295cd1223f62cd74003ff494c2d5b42580a251815648b5c46f","37776828",NULL
"0x1a43b50cdff30ab6b8e2b6ea3ce7c7b7bcf77965b6797b164a78faffdf43c486","37776848",NULL
"0xdfbf49a16a82bd5d2175a3e1a806631a87e80929b9524c50bb93679abfddb251","37776854",NULL
"0xa8252ec53d935dfea36114e5f42934f54da96d3851c6e21e7b321207469bac41","37776860",NULL
"0x27d698882d76994a366b8546b8c4a9f2af7109e78a96855fdf58217bcab01b53","37776862",NULL
"0xca7fb91b7af1cb960ebcf56a83b3a95aac3c4c0feb51bbcb0e72948c03066f33","37776867",NULL
"0xa687e9558e578876dc84c98c972bf047006857518b617c6ea8564c7d8fba57c0","37776868",NULL
"0xa01cf6ecbea59081b11560a716e115372105fb7c2ad5ebf84308904921075212","37776880",NULL
"0x7d28c25e47c1798be1fa8e09ef625c42692024d1c41175a62d6ba6e9e8c79376","37776887",NULL
"0x5ff52489a1ac9eec96b79a4be8df869ecfbf007a9ed0987f0c69930939e2a0e1","37776893",NULL
"0xcdc1a724c8ba2c6d449d5a6404da10b91751815eae282cfcb2f4edecdbd6473c","37776900",NULL
"0xd2f1ddbef8bf804429173fe0d438372009bbb33c206f9271b1e4712b9c7efea0","37776906",NULL
"0xe9a63e658527d3a210817175bf2568bb41d08875a4221bdae2e4802f41eec2f1","37778016","0xbdcde58947b58a1ec854d7e80144bb2c535b2d3db2456afbd882abf6a21cac6f"
"0x0a857df3a6c2e589b6e14726f2ff6974d2fc98efc8371196d8d0c01d84184c58","37779369","0x01abae51086635bb607999a85af9f9d1ab0b920ac0da53e62a2ce2d8e1916238"
"0xe27d7109736ebd9c31033d76e71c5c2c8b39dcdbcf2c41373e642f0f38b8bada","37783761","0x5006b214d9d5343aa5e97f06a8eb21d7ab64a83d2b28cd43e737371fa2c49f93"
"0x5f18ef912793d0963476999a23248e818c91512ba0573f50a4db4667c7365fc6","37783785","0x5006b214d9d5343aa5e97f06a8eb21d7ab64a83d2b28cd43e737371fa2c49f93"
"0xc05a8c04b880e8d81912f56d69183f38d394d0726df91f808bdd84d4de4c69e1","37783798","0x5006b214d9d5343aa5e97f06a8eb21d7ab64a83d2b28cd43e737371fa2c49f93"
"0x2cb68f594552068cf7738c985020a5f01f99f7620763df29a45917729b74b259","37789174","0xbf84fa7c1842648651c4ae75d5f0b2ce97e0b326033f83281db5f5e737d95bd2"
"0xd67430526769a5620ffa0005a68c6d6a156e2c553b83e0db02a9c7ead29c5567","37789752","0xd0b4da4df15a8b0e0b1901f05af18272ed5fd379d6b3a09fd45a135746f1c56a"
"0x60b28b71fb210d8c79cf7fbb7ab7f0fb24523a86d59c78bc0115b4bf52de49dc","37789772","0xd0b4da4df15a8b0e0b1901f05af18272ed5fd379d6b3a09fd45a135746f1c56a"
"0x61869cdd13e5b6b1c090ecc1cb477c01c408574bfd688d7f894f3595430c00a6","37790690","0x7ffe77b342929e6daa53730a540846ca9b85ad36551011b968785f80aed86eab"
"0x8b3e1c581f3ed2b16713b69ce5924ca65389e15114f97ff4425c136d7b58acc3","37792838","0xff22cddee05cdec8e013eb5d130f3b092dfb9198fc0dbbaf02f813d0f3d74664"
"0x30199d265d3ff75902bedec38f6439ee32fdbf6b6c86a14356fac01e45021a44","37793131","0x5ba6814ea85ed59df7b70a8febc3fb7ff96793de3f6cb518a74d9c59cec6b2a2"
"0x2d625ff90048a4742e020280d499b6522bb092470d02ce23ea69e1ab2032afed","37793174","0xdf40e5f862554f61bf947930c895a4e27c0a8a0942d983efa0454d7acff04f34"
"0x754620b34f8a234a696897ed01b4646ec31d267dedd665d89f8faa1c450dcf95","37793186","0xdf40e5f862554f61bf947930c895a4e27c0a8a0942d983efa0454d7acff04f34"
"0x489580e30708a27886680a96b2feff56ef4c112dc9fe71f0202426ead0c80f42","37793196","0xdf40e5f862554f61bf947930c895a4e27c0a8a0942d983efa0454d7acff04f34"
"0x957c87aa122d0e5e064716a6abfbc9bef4760a760432e5790a7bedc433f0b37f","37793202","0xdf40e5f862554f61bf947930c895a4e27c0a8a0942d983efa0454d7acff04f34"
"0xc9e062cd6a8835a911ef591ad22cc4325bfaaa329085d6250972b195323b1cfa","37795072","0x567da71af7a478d8204aeca7619230e8e059768cc9b75c52abf636f8259bd572"
"0x2e450fcc954a796132d360baf58f3767817aac40faf7503f19426e30c317c6d3","37795096","0x567da71af7a478d8204aeca7619230e8e059768cc9b75c52abf636f8259bd572"
"0xb1760b5cfda28c734d4a29912fb2d194e47b93950e69a1a74c9bf4a906258361","37797455","0x7e41288f90849ff9cb3c06b7760f66ff4f199aaddc1f677af476388418e6fb72"
"0x0df0614050b0871c4944d1c60b56e80a5f69fab357055991ee4bb93a53152ac4","37797494","0x7e41288f90849ff9cb3c06b7760f66ff4f199aaddc1f677af476388418e6fb72"
"0xd566fa457704a7b641a317cb51a6b33f3509dcdeec8f514b093c9fb5163b4989","37798346","0x7e41288f90849ff9cb3c06b7760f66ff4f199aaddc1f677af476388418e6fb72"
"0xb6aaa59e254ef5c14b4749413ab9adddbe46ba35ed3ff37c8841a42882842c3c","37801698",NULL
"0x2a5423721fb955bea082450564fa9bcac97a11f895e280a2b0bfcb0d68497cc0","37803037",NULL
"0xa872027377f246d78b6908a6c5b6dc1b5b8fa6e2aef200c6ddf39c77f917a769","37803503","0x7035601b19e5797ca0a893b3e12aa2495aaf8c4e727b83f0aa5d2ffeea749f31"
"0x23ff325afca15b5bdaea37bb4140b02bafc7556843d5b511e85afa9da142a9fb","37803509",NULL
"0x5d9c197fe2318ee65087d164676a9fe872c3e5a5596cf4fe35e37b07ecb87a2a","37803517","0x7035601b19e5797ca0a893b3e12aa2495aaf8c4e727b83f0aa5d2ffeea749f31"
