delegator_address,node_identity_id,status,details
0x7eb8deabf5d3921ed081a9f3ec89a75f1a673eb6,1,success,0x84d2d26a31e61e36445f7954aac8be0bf7ec2144e295641f09e55e410f854588
0xe94470a4beab39c497f8fe88d70f3a537bba55a2,1,success,0x57775a03ef410fef9d83df802ee6448707bc18082aeb881274743777e321c136
0xde25b73a7bdb51a0a6ecfc7fcdf45b8fbeb08b8e,1,success,0x3642f469cf7e89ac6be210262968dbb8772faf5d1ba944f64eab7b668ee64199
0x97e9095c1b050e9517cb15aa505b08a0d9b26de2,1,success,0x1c752487c321c530fe9723e36ebbc002ce1e34e3b6305bc342eff5c05ed6eb11
0xadd50d14da56b99d487fc858d5d377acac6f1a23,1,success,0xeff4c0a526013aaf13e1d9f1ac06b86f5db674390a5793f8f34d9404e6aae229
0x7eb8deabf5d3921ed081a9f3ec89a75f1a673eb6,2,success,0x75e9274a8f31ce97c8a329c4a81e893e2ed97607f6ff2ca3efc4df7c2109f1d3
0x24393a7e6b782762567d97e3800601eb7f8e80a5,3,success,0xcbf6839f4da001a4c4219b5967da59bf0ab697e1fbb8a6bafbe68c0ecaf99c4b
0x1f70ab7a96554f0cc1f6a4c57f2b244e8cba2f92,3,success,0x328bd2f1cf7a8c83fc94f10147286d7631d303f76b888b33136cfd765a0f7244
0x38df5eab959095f4589686f4d725c7d0a7ba8f75,3,success,0x164291bd3f10330bba0bce4e8d5c325967c791cb9c172e073bce4f582a27fd0e
0xe9ece9221c6ddbcf943f84436d60f15879f3bb2e,3,success,0x7c1ee547555efedf3342433a1fc913667b186cb93ee68cf37c9ef3d49f3fd03b
0xc2a4d6d2cddd3280ff22440cab6c3e44d4f774d9,3,success,0x585e2b0bc940880bd22cac112a642a089778b7d277425360bcd2e8dbfa47b137
0x7eb8deabf5d3921ed081a9f3ec89a75f1a673eb6,3,success,0x5ce4847087695425146e65e9c1f1f06a695c6fc9573c8fd2f2d15c6e5d812b96
0x077332f0da13d000f13a62f88532943822673ea0,3,success,0xda3f4ce31f7c84e72d504eba26850d88899d2c4b575e758609e8fa858c0f4e3c
0x0cf776d57e0223f47ed3a101927bb78d41ad8a13,3,success,0x2df241e3fe43145924f2305fb38aa094edb575c6627f9672f629c5ed92a1c4ad
0xb31fb8f1629fd1523bbd4f0aef474bece3e3453e,3,success,0x6a0251d1c4489110385dcf0f2dc241f7676929a921ddcedc35e425d0413e0eaf
0xc4be47ff997157ea1a869ce1442eca889121bcf3,3,success,0x7a338bc2413a3d64ab7561a28fce47c96012bc399f7e76473631149e59f968e3
0xe6e6f991fc4b4b7014b874f94c5157acc8e8c518,3,success,0x9c075c73e562ae805d6f484618be521aaa073c92e0d631068d0775f2b4644390
0xde25b73a7bdb51a0a6ecfc7fcdf45b8fbeb08b8e,3,success,0xbd9e7123317e942f0f53b8a6655c89edd1f1cb20a93646c95ae29bb63256dbbf
0x21cb95d9332c48c44cf28a64b6415cfe833fd811,3,success,0x514563b03202545769b28c15411874cd050dd89655a9d8ffd9a39fc7f79e011e
0x2c606ee594f436599ca6bb6e895cc679e360a55f,3,success,0x5e0ca77093d3afe9a01ae7e094e3ea39305816c7c553c07696514e031ff5fddf
0x97e9095c1b050e9517cb15aa505b08a0d9b26de2,3,success,0x8e3eb7b1d9956cf83f09d24f6a800f89896469c046623932720fc31ef2f5354d
0xadd50d14da56b99d487fc858d5d377acac6f1a23,3,success,0x4d0b68772b882f4382e17d72249c32f2edccaff8c78085f7a095de1519e8864d
0x646d48ae86287400a94b7cf9c605ed06a2880d99,3,success,0x5d75855d36511ea355d9bc3b7f8b25e88edd452a12ff68cc1eba30282e7540de
0xbd1bff03034ac340235e48ee35c85b1121b8198e,3,success,0xb64dae3228d91c6310d5685eed89e6b49591136ac2d26c238a3333ecc0570ff0
0xc9d3185ef9002cc69905c62017b964694d89f2ad,4,skipped,already_claimed
0xe94470a4beab39c497f8fe88d70f3a537bba55a2,6,success,0x0cfc5eb3028cfd406614803340d2b264eb45818543b5e5f2232774a33a93ab35
0x0cf776d57e0223f47ed3a101927bb78d41ad8a13,6,success,0x4c890d20908aeb330d3c9d98419987e301e705263994485e0045a5c14bd87ea4
0xde25b73a7bdb51a0a6ecfc7fcdf45b8fbeb08b8e,7,success,0x925e469bd775e0b1ade55bd0f00d9977e41c79d32df605ad48b1dbb354e24376
0x6e9e800fecf096a830f951fac089a61029b21ee8,8,success,0x1b3ea222046804104557940e9d1f7053ea46da1c2449350bfae99e95476158bd
0xde25b73a7bdb51a0a6ecfc7fcdf45b8fbeb08b8e,8,success,0x0e6cbf3929deb15f139666d148d96e86f9c5d7fb20b043d9071bf13c8bf0d7d9
0x1411081c256e54ec0f6f6bc7b4936d7f2e3c0271,9,success,0x29911e01daa330b5245eacbf2a8e9184fc9e0485265466490d5628c2f0c9db5b
0xde25b73a7bdb51a0a6ecfc7fcdf45b8fbeb08b8e,9,success,0xcb07a7d294c23dd41507f48df2da19ec26e2ebe1618c7eac51582e8900d63238
0x7eb8deabf5d3921ed081a9f3ec89a75f1a673eb6,10,success,0x9e4dfaec22d7caf52574693a26f66c59ba5518e4e937e3462b4a7b440e1276ec
0xde25b73a7bdb51a0a6ecfc7fcdf45b8fbeb08b8e,10,success,0x75271afc3b0e449362edcee61a9f25e2536a8dcbf834654a5e7d957c90de7966
0xde25b73a7bdb51a0a6ecfc7fcdf45b8fbeb08b8e,11,success,0x6d9e413dc7a5b37b01b0e634a4851c485c5944c022332124047c40e1adf383bf
0xe94470a4beab39c497f8fe88d70f3a537bba55a2,12,success,0x090d8e1d31482e4e6c650c3dd9895f458913e7a6159f859143370054e4f7a811
0x0e91710856b8aa8c2b0e78d301e7ed2057b21894,12,success,0x234602b7d48abdc4659174f1956849b277f1b77e0b90826924fe0d8fb4f3a594
0xadd50d14da56b99d487fc858d5d377acac6f1a23,12,success,0x5c46186416a76686efc03cbab71121b278862e2a367e712eeb9f8d2a8d671e61
0xbbe5ef8ec201677bbe3e4faabe73556b84a6ea13,12,success,0x179b0d41cc22d48080d77220f84aedd607f0c6a648c8393d50c8817e5b898ce9
0xbbe5ef8ec201677bbe3e4faabe73556b84a6ea13,13,success,0x383dde4fd16a5074a1019d6391d5ebe8db82e6bbde00fc9f0774c64655d66bd6
0x7eb8deabf5d3921ed081a9f3ec89a75f1a673eb6,14,success,0xfbe188ba04f017769b9435953071a57a63de0b80260cc714f04bc4034098e702
0x0cf776d57e0223f47ed3a101927bb78d41ad8a13,14,success,0x91426655a2efb09527e1f29f9e54442acb2b65d06748b915fe6168602bf3d26e
0x21cb95d9332c48c44cf28a64b6415cfe833fd811,14,success,0x7b0cc1f4ca7ceae917d8120dc93215a95a866079a925a9f44d4ea2dd6bf41236
0xbbe5ef8ec201677bbe3e4faabe73556b84a6ea13,14,success,0x10990ab056bbea3208c581e36da134373d6fd47c1744c32c784abe5cddb6246c
0xe94470a4beab39c497f8fe88d70f3a537bba55a2,15,success,0xa929571a12d9886660e45208d11e5ebd267556629b391e998dcaafb3a7db1f1d
0xbbe5ef8ec201677bbe3e4faabe73556b84a6ea13,15,success,0x1e33eabd05cb246a723117e9e749fa904e33265066f8ebe595a6b2cddfec4d91
0xe94470a4beab39c497f8fe88d70f3a537bba55a2,16,success,0x39cc3dc1a9b140478955566efbd9000f93041e0a217f7a75cf3c4a31e357970e
0xbbe5ef8ec201677bbe3e4faabe73556b84a6ea13,16,success,0x18b14eb382570128a0916931bfe6826beb96eef5bff36b840dc8b7011cf26b46
0xe94470a4beab39c497f8fe88d70f3a537bba55a2,17,success,0xe5cbc33ee8023cadded172f1d80d89fe34c9145d3c8ea6ec3a6795582c986a5f
0x0cf776d57e0223f47ed3a101927bb78d41ad8a13,17,success,0x424f5e66f5760f825158e9ab7378ff58e0f57be15a82d0af833386162e1ec6ae
0xbbe5ef8ec201677bbe3e4faabe73556b84a6ea13,17,success,0x75089e06898e2e303d544ac31f80a8e30256b955b875820d9c9f095f1930bb42
0xe94470a4beab39c497f8fe88d70f3a537bba55a2,18,success,0xd9c73fbe8862c77c29e2148d95bc5f91f933f37a1bbe0ec9eb9cd411da4eeb3f
0xbbe5ef8ec201677bbe3e4faabe73556b84a6ea13,18,success,0x8d806eac094c77b88093a86a0b89aa3006b0dde695f0cf8e2184e9a574362121
0xe94470a4beab39c497f8fe88d70f3a537bba55a2,19,success,0x73b0d45a9ecefdec7728e915b622e38d6b3ac31c4e90c2bbfe849b22e30ddbcb
0xb31fb8f1629fd1523bbd4f0aef474bece3e3453e,19,success,0x756e03c7c3676f41a8e4b2a8ef87bd7edc2ae8222fcd13f8396e192d95d3a0a5
0xbbe5ef8ec201677bbe3e4faabe73556b84a6ea13,19,success,0x756aaca8405faa3a40cba6db6b70af88d8848497c583df95608b494bfefffdb9
0xe94470a4beab39c497f8fe88d70f3a537bba55a2,20,success,0xf066535a229a8eb4400e940e11ab062f7de6b64594e35a29190b9eab84e850dd
0xbbe5ef8ec201677bbe3e4faabe73556b84a6ea13,20,success,0x6044967590bb9b530f92071048ceb33f7fdc664636451ce23defb9a32dc9b217
0x6447b9b40536436b42424a984876d7e3b858f8f7,21,success,0xd167b4743693dd73ad85f7e9348c527679ea7ae258f6783b83527e7e0946abc7
0xbbe5ef8ec201677bbe3e4faabe73556b84a6ea13,21,success,0xd89318407bd6e8f0edb69e1303a35da46efc3b30d4d844c00103003d4340ce0b
0x50d55e6ed4146425c52c26521ff14be90bd4d1a5,22,success,0x506f44aea34d5ab239c248fd34c19d7a5e872af592b2282243ab102ac99c79d0
0xb43c5279e3b5322d8cbfb617be310c37870bb8cb,22,success,0xef79a1d2a9f5b6847a520c7141c4c52b181c6e23472e864e208ed894b0cb9c68
0x1f70ab7a96554f0cc1f6a4c57f2b244e8cba2f92,22,success,0x1ae1ed0278b030232eb9959a258d4726d067c10d7ff1af9e2deafc47070103bb
0x38df5eab959095f4589686f4d725c7d0a7ba8f75,22,success,0xca86826eecdb9aa7dd3c95d021c57dd9a83942ebb69c0163ad64f316784a8fbe
0xc2a4d6d2cddd3280ff22440cab6c3e44d4f774d9,22,success,0xd24c2b785996fb77c01cd851bd0d11f9cde376fdc7a80ed8235932cced20a192
0xe94470a4beab39c497f8fe88d70f3a537bba55a2,22,success,0xa382ef5c090aa194e93b1008782b39180292751071683cab5279f67edeb9a801
0xc4be47ff997157ea1a869ce1442eca889121bcf3,22,success,0x8cc81603ffbe40bc3b19a78ce3192c23b986a47d45e18278bf8569d7caf02174
0x0e91710856b8aa8c2b0e78d301e7ed2057b21894,22,success,0x8e1d8f086050b9976b42412aedd7a9924d3fe43ea4e7c1d585e03e7882b4b5e1
0x0b8a57a5aa1aa50981e3a7d0070c9b5b561e86c4,22,success,0x8eae84e55c5e03cff8b1b5d7d3fbb0f78325da1e1c686b3c75cf8c16f7dd478d
0x226588918a8c209af9b86f338212d2b35b0bc0de,22,success,0xa90a73eefd3f78e7969e1d786187093abe28d1b0ce98d5b21efe5ce1556b5bf2
0x2a302f69f41d22af404a0496a870854d6a8d0fd0,22,success,0x5e351e8cdba37908d62a4b767a0f6812d2dd08b9fa6f3d6f3414c2a16e9ed145
0x2bbe3f6e3282392c4767ab6ff76c20edbff9f35e,22,success,0xa9b05cb0ca5c066fc6a1ed15e5cbf7ffcc94efaf37d91d046e869eb0d9fa2d9b
0x3ab96f3a444402d20848bee531a59eda41f01998,22,success,0x06992841af527d2f00458aabcfa69334e3bcc47fd1559c7460566a784a5853f8
0x5a64eff3aba37e8cd9793ca1a9f73036704bca48,22,success,0x56acf5bc3d1f0b53aa6607afc5a8627dd31261406f5c9e37469d94861047a672
0x5d64d14d2cf4fe5fe4e65b1c7e3d11e18d493091,22,success,0x85f04e975406da1eae289f0e13942669312fb101d9e6cac9e4f4d21abeb192fd
