delegator_address,node_identity_id,last_claimed_epoch
0x874d218e6d28534d7af5ff97674be65eda375b18,1,6
0xf19fdc795c314f1934210c5e60c0703c16866f7b,1,6
0xb7ed501cb5a6470caf0b97085b00ddfac601bb59,1,6
0x2796a1233b6919d833c98f210d4636dd1327c8ce,1,6
0x1f70ab7a96554f0cc1f6a4c57f2b244e8cba2f92,1,6
0x2e1b1e1e91318ea5a6a122b4f5bf07c562c59301,1,6
0xcf3f1e9d688283c105cf8301eecd905b23e9e807,1,6
0xba8368d2a17207638ddce6112f4ad03003a28f0a,1,6
0xaf0f64222a720840befd808e71f24365c3c66422,1,6
0xd75c8fdd2d14f53848abd34c7c9748dc3e78341a,1,6
0x851a88571af500482399cc2cc69d9edd48332638,1,6
0xadb1a76cdac5f9440dcab127f99af52ab4b996af,1,6
0xcce967d8f21b62c5eb3fc5040c1677ef4cde54ba,1,6
0x2284fb05b06133ceda72a81036b48c188aabd0dd,1,6
0x0e62bdc912a42367ae317ffd35c1b647c739c422,1,6
0x22b750c56a1e6e20799d470a8949896dc3f55c45,1,6
0x242bfa90a5160893c4926b7da5a17355d67f3ffc,1,6
0x42d9c67a77773fade2b14fb4aec95fbce61e23ee,1,6
0x4988a3caef629dc9369dd3909b035f74b7e728b2,1,6
0x53f2736fae551c998d4e72e519f1acf474264de4,1,6
0xa053d9d31596b505c7ba2129b31193a1c37473af,1,6
0xdd110f9167c16db2f71d9f3a47d47988a5e530ad,1,6
0xf1e085349d492a5546658e28a470055ced37c3f4,1,6
0xf46cd09fc1aec116a10a1092f78d2c3da02547f2,1,6
0xdc5387e655781d2c83067169e3cf395d8202f4d4,1,6
0x67f63eba2a4dc296237ffc11192c1f9769a646a8,1,6
0x42d9c67a77773fade2b14fb4aec95fbce61e23ee,2,6
0x42d9c67a77773fade2b14fb4aec95fbce61e23ee,3,6
0xf19fdc795c314f1934210c5e60c0703c16866f7b,5,6
0x7232af3552c83e646e4a43368ccde98c4433533f,5,6
0x1cb3b88fa6c79e4cc3163a04d5ae7862b600e55b,5,6
0xda3c72d83b40acd5301d8fcf30bf6648b0e6401b,5,6
