"transaction_hash","block_number","delegator_key"
"0xdd4b6f4c9d64282d5ffe0dff2b1bc4eba3b557e64ca07182e7eece2262b08534","7292008","0x8f33591db154205b514e9f4ca3fc4e7d58d018614ead3c07dce399a51d96d0eb"
"0x1f536396e912ea0b2dedb2cf328719907bc3aea38cdb0f21faa4da900d8a7856","7292030","0x8f33591db154205b514e9f4ca3fc4e7d58d018614ead3c07dce399a51d96d0eb"
"0xd3125c8826e4497048152791c3c0387f18374f3502bcabd4cd30c20250e5bcac","7292040","0x8f33591db154205b514e9f4ca3fc4e7d58d018614ead3c07dce399a51d96d0eb"
"0xfc000c6a0e9f82b87fbb48c32fcdc6b3fef3e9dbd5749f942c6f87cbebac023d","7299485","0xde6e4c59810c9362d0231c38c89dfce5d1bdaaeb6f7acc12ec069a056934f508"
"0xaeb01a70bd834a0b898d36039defd26820d3d9d9b2448d1f8749d1339741e48b","7305560","0xd4758ec6c48b4a89e1477374d359045e0df4ea4f9980ccaf7f79ab557dee23c0"
"0xa345edbead9e3ad31d2bc03cd4dc059e50ed8e9aa5a6fa151bdb7bfba01a3abf","7306196","0xff22cddee05cdec8e013eb5d130f3b092dfb9198fc0dbbaf02f813d0f3d74664"
"0x8806d1ed3422465258a63f4e96b657cdcc3fbfd1c1805180f691f0007d1a529a","7306375","0xdf40e5f862554f61bf947930c895a4e27c0a8a0942d983efa0454d7acff04f34"
"0xf818de3ab8cd8967b1b04b7916a5b7ef14927b8530ce996f67b367abb69de954","7306388","0xdf40e5f862554f61bf947930c895a4e27c0a8a0942d983efa0454d7acff04f34"
"0x4791bebda3f6cf43a8921330fa8ce19ee3a7fa8ab747e40404a3a2ddfd57c4d9","7313595","0x19ac76f1830a72f1338ac8be136482a2b3e02cb8ff75b07d9ec20952d6c0d9ff"
"0xd2575d2c8f459764264f257f357b5ebd4e7ec92f0c482e50fbbc3a752e3ea25f","7315045",NULL
