block_number,block_timestamp,tx_index,msg_sender,transaction_hash,contract_name,function_name,function_inputs,processed,error
7365766,1735946922,0,0xA0217D960f246478AE0fBB208728D41374244fD7,0xa0d84d4bda336d039a64d9721b1e9f60d34456b363832c45cf617816c32e3109,Staking,stake,"[""77"",""100000000000000000""]",false,
7368532,1735963656,2,0x2FC968e294A8b03d4a359DaE2913D612E21D7D3E,0x8b6dc7bbafaa799d035a47f6b7bb0b38735325fd8df0a349478d4879a5aed948,Migrator,migrateDelegatorData,"[""187""]",false,
7406981,1736197044,0,0xB5Ba55143E6719d5597E0c700772b4CcC5f6B7f8,0x9886d287743290ddc56ea1216b865d5fb32e4bc411ce8e7fde9dbbab11b8098a,Migrator,migrateDelegatorData,"[""161""]",false,
7520643,1736888256,0,0xe23A6B2ec7954704422afE8C4C422803928408bA,0xd39afebb9ec2a63c09966b705ace03eaba6ab1ccb6c7af1b90ffcb3b8820ab71,Staking,redelegate,"[""139"",""190"",""20309316555556934851543""]",false,
7540998,1737011502,1,0xDB3B95a0567c27a0D1fd6020550dD566A903300d,0xb942897e13d4b6475b0a39098592f87b274001015e10be283491c9c5d321d47f,Staking,stake,"[""101"",""5167767978551939""]",false,
7555225,1737098202,11,0xd8C8f8E07F779C34aEc474bA1A04E20E792b5c5f,0x673bb29129a8ddfaf74f7f455586775f4810ae79eaa246557f43281405746d1a,Staking,stake,"[""194"",""4130000000000000000000""]",false,
7555536,1737100128,0,0x626713967C0d98A2701C12DE07E2D37A9EED0D5f,0x4ed5ec69c7ba544c8fba61b6bbbee0a9ff759100e2fefa3f32861bb69478e47d,Staking,redelegate,"[""190"",""158"",""5052280000000000000000""]",false,
7559554,1737124860,1,0x1F70AB7A96554F0cc1F6a4c57f2b244E8cBA2f92,0x9dabf3365c29bd4a3f3c78ed4f104b668b0b2680054bd401167c954388a18d51,Migrator,migrateDelegatorData,"[""166""]",false,
7581373,1737257130,1,0x4a9F3385ef6C1a51b2b0D02dA578c3879b26b7D9,0xf7ad8935c3f8c6693a9f4775832f7baa85eac14325edf14f12079c9328997288,Migrator,migrateDelegatorData,"[""191""]",false,
7581457,1737257634,8,0x4a9F3385ef6C1a51b2b0D02dA578c3879b26b7D9,0xbadf7f2fdba089688342377a49ef6f3efdba0aa88d843efbbff3cb3df82f16e6,Staking,cancelWithdrawal,"[""191""]",false,
7591350,1737317784,5,0x5cAd77fB39ddcB58c4aA99D3eeB4dCC21d9D9315,0x246e1d45e8b767965eb09b7c584433d9245eda9c66ef22d972245e7534b23a99,Staking,stake,"[""192"",""975000000000000000000""]",false,
