delegator_address,node_identity_id
0x7eb8deabf5d3921ed081a9f3ec89a75f1a673eb6,1
0xe94470a4beab39c497f8fe88d70f3a537bba55a2,1
0xde25b73a7bdb51a0a6ecfc7fcdf45b8fbeb08b8e,1
0x97e9095c1b050e9517cb15aa505b08a0d9b26de2,1
0xadd50d14da56b99d487fc858d5d377acac6f1a23,1
0x7eb8deabf5d3921ed081a9f3ec89a75f1a673eb6,2
0x24393a7e6b782762567d97e3800601eb7f8e80a5,3
0x1f70ab7a96554f0cc1f6a4c57f2b244e8cba2f92,3
0x38df5eab959095f4589686f4d725c7d0a7ba8f75,3
0xe9ece9221c6ddbcf943f84436d60f15879f3bb2e,3
0xc2a4d6d2cddd3280ff22440cab6c3e44d4f774d9,3
0x7eb8deabf5d3921ed081a9f3ec89a75f1a673eb6,3
0x077332f0da13d000f13a62f88532943822673ea0,3
0x0cf776d57e0223f47ed3a101927bb78d41ad8a13,3
0xb31fb8f1629fd1523bbd4f0aef474bece3e3453e,3
0xc4be47ff997157ea1a869ce1442eca889121bcf3,3
0xe6e6f991fc4b4b7014b874f94c5157acc8e8c518,3
0xde25b73a7bdb51a0a6ecfc7fcdf45b8fbeb08b8e,3
0x21cb95d9332c48c44cf28a64b6415cfe833fd811,3
0x2c606ee594f436599ca6bb6e895cc679e360a55f,3
0x97e9095c1b050e9517cb15aa505b08a0d9b26de2,3
0xadd50d14da56b99d487fc858d5d377acac6f1a23,3
0x646d48ae86287400a94b7cf9c605ed06a2880d99,3
0xbd1bff03034ac340235e48ee35c85b1121b8198e,3
0xc9d3185ef9002cc69905c62017b964694d89f2ad,4
0xe94470a4beab39c497f8fe88d70f3a537bba55a2,6
0x0cf776d57e0223f47ed3a101927bb78d41ad8a13,6
0xde25b73a7bdb51a0a6ecfc7fcdf45b8fbeb08b8e,7
0x6e9e800fecf096a830f951fac089a61029b21ee8,8
0xde25b73a7bdb51a0a6ecfc7fcdf45b8fbeb08b8e,8
0x1411081c256e54ec0f6f6bc7b4936d7f2e3c0271,9
0xde25b73a7bdb51a0a6ecfc7fcdf45b8fbeb08b8e,9
0x7eb8deabf5d3921ed081a9f3ec89a75f1a673eb6,10
0xde25b73a7bdb51a0a6ecfc7fcdf45b8fbeb08b8e,10
0xde25b73a7bdb51a0a6ecfc7fcdf45b8fbeb08b8e,11
0xe94470a4beab39c497f8fe88d70f3a537bba55a2,12
0x0e91710856b8aa8c2b0e78d301e7ed2057b21894,12
0xadd50d14da56b99d487fc858d5d377acac6f1a23,12
0xbbe5ef8ec201677bbe3e4faabe73556b84a6ea13,12
0xbbe5ef8ec201677bbe3e4faabe73556b84a6ea13,13
0x7eb8deabf5d3921ed081a9f3ec89a75f1a673eb6,14
0x0cf776d57e0223f47ed3a101927bb78d41ad8a13,14
0x21cb95d9332c48c44cf28a64b6415cfe833fd811,14
0xbbe5ef8ec201677bbe3e4faabe73556b84a6ea13,14
0xe94470a4beab39c497f8fe88d70f3a537bba55a2,15
0xbbe5ef8ec201677bbe3e4faabe73556b84a6ea13,15
0xe94470a4beab39c497f8fe88d70f3a537bba55a2,16
0xbbe5ef8ec201677bbe3e4faabe73556b84a6ea13,16
0xe94470a4beab39c497f8fe88d70f3a537bba55a2,17
0x0cf776d57e0223f47ed3a101927bb78d41ad8a13,17
0xbbe5ef8ec201677bbe3e4faabe73556b84a6ea13,17
0xe94470a4beab39c497f8fe88d70f3a537bba55a2,18
0xbbe5ef8ec201677bbe3e4faabe73556b84a6ea13,18
0xe94470a4beab39c497f8fe88d70f3a537bba55a2,19
0xb31fb8f1629fd1523bbd4f0aef474bece3e3453e,19
0xbbe5ef8ec201677bbe3e4faabe73556b84a6ea13,19
0xe94470a4beab39c497f8fe88d70f3a537bba55a2,20
0xbbe5ef8ec201677bbe3e4faabe73556b84a6ea13,20
0x6447b9b40536436b42424a984876d7e3b858f8f7,21
0xbbe5ef8ec201677bbe3e4faabe73556b84a6ea13,21
0x50d55e6ed4146425c52c26521ff14be90bd4d1a5,22
0xb43c5279e3b5322d8cbfb617be310c37870bb8cb,22
0x1f70ab7a96554f0cc1f6a4c57f2b244e8cba2f92,22
0x38df5eab959095f4589686f4d725c7d0a7ba8f75,22
0xc2a4d6d2cddd3280ff22440cab6c3e44d4f774d9,22
0xe94470a4beab39c497f8fe88d70f3a537bba55a2,22
0xc4be47ff997157ea1a869ce1442eca889121bcf3,22
0x0e91710856b8aa8c2b0e78d301e7ed2057b21894,22
0x0b8a57a5aa1aa50981e3a7d0070c9b5b561e86c4,22
0x226588918a8c209af9b86f338212d2b35b0bc0de,22
0x2a302f69f41d22af404a0496a870854d6a8d0fd0,22
0x2bbe3f6e3282392c4767ab6ff76c20edbff9f35e,22
0x3ab96f3a444402d20848bee531a59eda41f01998,22
0x5a64eff3aba37e8cd9793ca1a9f73036704bca48,22
0x5d64d14d2cf4fe5fe4e65b1c7e3d11e18d493091,22
0x9f16bbe53cd85e44d5e83caf7421316f7e81c8cf,22
0xa543eed9e43204aeffbb257958deec25f82c379c,22
0xab3f67d87e0e6ad22a8d45d4d31e011fa14cab1c,22
0xadc358150cd12943d7ddcf5434f41737f3bfc364,22
0xdc85c9b30d292a23474d8ebc811074a20332a130,22
0xe3ed7106e7e4aa8e8400d885f33c6c4b0f795fac,22
0xe9a2d9ed6f9b29f9420f17a394d79f1d90e4fb00,22
0xde25b73a7bdb51a0a6ecfc7fcdf45b8fbeb08b8e,22
0x21cb95d9332c48c44cf28a64b6415cfe833fd811,22
0x082db5d05c2ab1899050f1dbe4a734181efe5de9,22
0xb2601f5e26e6b676dc707099b3b6ff9fbb3fe89b,22
0xd328507fe22a6b8cea4c7fde371e6a80ea90c24e,22
0x24bf3576faef2ab252841e758d73ac8dfe61faf5,22
0xe6468161cd265c1e0b9731d224b01146928e3336,22
0x8dd0513d158508ff152b0ad45562a22b39644359,22
0x7556e6208491aa331026dd781ade541cabbfa176,26
0x7eb8deabf5d3921ed081a9f3ec89a75f1a673eb6,26
0xe94470a4beab39c497f8fe88d70f3a537bba55a2,26
0xb31fb8f1629fd1523bbd4f0aef474bece3e3453e,26
0xc4be47ff997157ea1a869ce1442eca889121bcf3,26
0x2a302f69f41d22af404a0496a870854d6a8d0fd0,26
0x004ccab1460dd2de27c942f604edac6db406ee5c,26
0x102547bd0075f7228f351452f762be6047356814,26
0x1e99b35be6bc0fc5b90a8a1fbe3c21cededaf12b,26
0x30c4f9e8151a344a88f0a10e968342a183015d26,26
0x54ee8558e00667e355968144ffceb6d75361acdf,26
0x67640e522e1734b4745c56865cf45e7dce712753,26
0xa78e03f3fed0b726055bb3d2003f93159e4fc974,26
0xbc8e5963604183ee8ab8baed671f1548413c0d29,26
0xc4d83f68f783d9d833813842b006b30af2968fa5,26
0x21cb95d9332c48c44cf28a64b6415cfe833fd811,26
0x1a4b7b5e62b4b2db338b6cb4bea4e34e37fb3573,27
0x599c59081d9b673bbddafbc933b669aa84ea3ee1,31
0x18405396c4cec8447e74d408fabef1a9c2dc6269,31
0xb43c5279e3b5322d8cbfb617be310c37870bb8cb,31
0xfe8c1e0d733815bdd889144ea721a39b44fda866,31
0x2549393a45a63dc08ecf6cb2c76710dcfc6832fd,31
0x285c49da74886682ab72f8212d2905c5c2a52f14,31
0x1ba0bf73d8849d7e8aaa63ba18a3df551369f30f,31
0xba39cb790834d441e625f5e361d0366fa7c1603e,31
0xdc5387e655781d2c83067169e3cf395d8202f4d4,31
0x86de4d5e5498b0d635c29e187d38c6f0be76889a,31
0xe94470a4beab39c497f8fe88d70f3a537bba55a2,31
0x02cc95b317ffff75878a8508885ae4842c6d2694,31
0xde25b73a7bdb51a0a6ecfc7fcdf45b8fbeb08b8e,31
0x8dd0513d158508ff152b0ad45562a22b39644359,31
0x374b415d15316a533a5816741a73d5b23da975d1,31
0x09b06b451388c3c303ad5eabbbb9ef5e2bf476c2,31
0x8e68c399fadf53de34285a3c03a236558908f25d,31
0x90ea8008d47a8f4adb27e4797870e90827a8a24a,31
0x97e9095c1b050e9517cb15aa505b08a0d9b26de2,31
0x0c74a92890be2c253b9b1856e36549d461a590e2,31
0xb3abdd31af7343c25acd9d445eb18a35192ec520,31
0xd016c9094d63eca2255a9bb20c021ea4b16b0a2a,31
0x7f7838a6d8ea8dbc165027912430fed7cb1952cb,31
0x2799ee83d02761b7881aaa174d1c73163e1764c3,31
0xed1f247fa591c9858da7aafd1eacf40f8b367b24,31
0x611b093dd753deb273b2fd8c07d5b31009d7ca48,31
0x2e1a91909eb1eb31d06f9ee9834f3ff559470e88,31
0xc12e4fa44c64543fd47c9eeec8cd6855fd7b7823,31
0xe28bd0374052eb651d51ac7bab7372776118ad4f,31
0x2701124e21de87f2c5e7e58c55d01bf75448ae47,31
0x586be06271f64ddeb15d572c8afb6dc75f2dfe64,31
0xf74a5b99381a343f6c2c8a869d87a003d12856e3,31
0x7a1566976acf81097d6ddb6084708c338b2c34a2,31
0xfa0a88f3cb2a45fa709725df03a7af50bee8a2df,31
0xac8f03df20da9e022bfbedb3953b1385c6577595,31
0x6b404640b18f8b801260a6e830202d82767bbf56,31
0x3e207b9ccc02f92c7dbceffa9b6e3fef9a053182,31
0x46b8e7db8f0e3236519330190e5cdccffdfe8a26,31
0xc30c16b1be6ee86af460c117155672a9c0d3f6f1,31
0x128af4c265b681b70397b975c6a36d0b5d869beb,31
