delegator_address,node_identity_id,status,details
0xb31fb8f1629fd1523bbd4f0aef474bece3e3453e,2,success,0x31c955425384aaa0fc492a78c855c52427a3b303663685916fd18358efb5a0ab
0x3077f103bd9a7690c88767f6c073f286bd232317,3,success,0x9171d0666d5a5349979effb97e3b0712401ce5179b061a4a6c3cc2120cc33945
0x1ed5ea3035c2a9d3c6e89205516257fb0a8ae6cd,3,success,0xa20822d686177405e32085201c7782f58852ad16b913b6d95fa591b84a675e4f
0x3077f103bd9a7690c88767f6c073f286bd232317,4,success,0xa1ae39a13d187c408f1f2a9228b788d3e38ed48793cff8c9a8ea2b216cb27a17
0x1ed5ea3035c2a9d3c6e89205516257fb0a8ae6cd,4,success,0xb1ac2c3f884953de1214e9f7117b2e3e0054e2bcacd958665aea533d74c56d61
0x3077f103bd9a7690c88767f6c073f286bd232317,5,success,0xb9175f034bc87a1a847eb4b046021d001c69bab39776d929bd156ac172d1a910
0x1ed5ea3035c2a9d3c6e89205516257fb0a8ae6cd,5,success,0xe60adac55be7517013a6694fe039037b1c5c462f61449dc0fd699d5d14b00610
0x3077f103bd9a7690c88767f6c073f286bd232317,6,success,0x841739b1037d4e09762ee402934a5d18951d71ef949e62401410379ac6d4f017
0x1ed5ea3035c2a9d3c6e89205516257fb0a8ae6cd,6,success,0x74172de380f7d2714bd6d178071e077e9d3f1bf61e74de1368ce145e796b4f8d
0x599c59081d9b673bbddafbc933b669aa84ea3ee1,7,skipped,excluded
0x3077f103bd9a7690c88767f6c073f286bd232317,7,success,0xf9121774fa86f453d292fbbe105c2e0b2ceda948a8af4e53139db43fb597ee5d
0xd28b3107724e066264f735ffedaad0d5f35a426c,7,success,0xcb8f9c5ab1cd957350d7e264f78ce25b0c252213d9c5432a0225ef68217f0d0c
0xce45174e0fafae449652b24719f664eaf3b4677d,7,success,0x33cde7fd8c299ff92a39650a5f27054c90f68065d3597d007d55ae70d2febd14
0x42925f3b33d315000276f0f6a257e4fc3c06da21,7,success,0xa91919e08823fbd9817b627af1e457892584ea42a07a06f07ee445ec9e4882cc
0x4f1442ce0232b5a178d83ec928a796098c43b026,7,success,0x95b2c0ebf03834750117e8f618389667148db3d590b3abc3b9806964f24634cb
0x922a00075edbd3909aafe75cbc20d4851e984859,7,success,0xeea8afd38020ea09641c5f71ba03e95f95739594218d10a0346c77d2dbc6b524
0x1ed5ea3035c2a9d3c6e89205516257fb0a8ae6cd,7,success,0x36c010eb33c144c77c4564c6e61e9abee393a072768f472923aa38f49cafe059
0x3077f103bd9a7690c88767f6c073f286bd232317,8,success,0xcfa5155bbe6f54a73694027a3ab9fcbcf734dfad0503d0b910d202c6c2414155
0x1ed5ea3035c2a9d3c6e89205516257fb0a8ae6cd,8,success,0xcb96fa05e96a0db9d3b7ef0c9957bdea8959caeed535eaf4b01df8f6c6d5fed7
0x3077f103bd9a7690c88767f6c073f286bd232317,9,success,0x4cc08df706d4bac2a2c58ce232cb55f02766436049dbfe12af4e0d5ee7237118
