txHash,blockNumber,timestamp,from,to,valueEth,gasUsed,gasPriceGwei,txFeeEth,status,method,paramsJSON,contractAbiName
0xfbd999b819da9d15f3609d00f40b3a09bfd0e0629e0e0791be5dc4075a776ba4,24228195,2024-12-26T20:42:17.000Z,0xde25B73A7bDB51A0a6eCfC7FcDf45B8FBeB08b8e,0xc6B8b1E3EFE8BE4dA79f3C2Cfc36d37d6F3DC8CB,0,228737,0.004931271,0.000001127964134727,1,migrateDelegatorData,"[""22""]",abi/Migrator.json
0x82af908e7637f782e36a9eeafda3781dab3c01dc614efe7a09a33a963bf20615,24228210,2024-12-26T20:42:47.000Z,0xde25B73A7bDB51A0a6eCfC7FcDf45B8FBeB08b8e,0xc6B8b1E3EFE8BE4dA79f3C2Cfc36d37d6F3DC8CB,0,288641,0.004914941,0.000001418653485181,1,migrateDelegatorData,"[""8""]",abi/Migrator.json
0xfa70581b6e7bd2b6118ba4a16b8751c3c787c47a944fbb4458fd96a2184f315c,24228227,2024-12-26T20:43:21.000Z,0xde25B73A7bDB51A0a6eCfC7FcDf45B8FBeB08b8e,0xc6B8b1E3EFE8BE4dA79f3C2Cfc36d37d6F3DC8CB,0,288641,0.004882972,0.000001409425921052,1,migrateDelegatorData,"[""9""]",abi/Migrator.json
0x0f6b0fefd1d7392feeed1f68c1831b9cfcee1d5b247b3747472a9716145b25ee,24228245,2024-12-26T20:43:57.000Z,0xde25B73A7bDB51A0a6eCfC7FcDf45B8FBeB08b8e,0xd5Ed8EAb35536F8C33C38128087441218Df65B1C,0,585324,0.004859047,0.000002844116826228,1,redelegate,"[""33"",""11"",""3000000000000000000""]",abi/Staking.json
0x1db3e23e14bfbe1e3255a7cd96d23e9ae8143c56ad732e8318b13ed4ec7f9935,24228308,2024-12-26T20:46:03.000Z,0xde25B73A7bDB51A0a6eCfC7FcDf45B8FBeB08b8e,0xd5Ed8EAb35536F8C33C38128087441218Df65B1C,0,572198,0.004813674,0.000002754374635452,1,redelegate,"[""8"",""3"",""146380000000000000000""]",abi/Staking.json
0x6e72e1d435d11e5d40decb57d0aa846ab182e1ac9f22e179224cc3cd2a7044d8,24251890,2024-12-27T09:52:07.000Z,0x599C59081d9B673BBDdAfbc933B669aA84eA3eE1,0xd5Ed8EAb35536F8C33C38128087441218Df65B1C,0,471459,0.016133531,0.000007606298391729,1,requestWithdrawal,"[""38"",""8020000000000000000""]",abi/Staking.json
0xc93e837df7d6565d1682ab21575a3cf046d7a9ac54dcd0aa8070aebb110e5ebb,24262915,2024-12-27T15:59:37.000Z,0xb7ED501Cb5a6470cAF0B97085B00ddfaC601Bb59,0xc6B8b1E3EFE8BE4dA79f3C2Cfc36d37d6F3DC8CB,0,222843,0.007840355,0.000001747168229265,1,migrateDelegatorData,"[""38""]",abi/Migrator.json
0x92c6a28541c410759b68171ec43217bc6da67a985383d49bbaa4d81b4b8e34e1,24263186,2024-12-27T16:08:39.000Z,0xadc1d13ACf57EA12cdF14679177Fd669221ADF2c,0xc6B8b1E3EFE8BE4dA79f3C2Cfc36d37d6F3DC8CB,0,222843,0.009211919,0.000002052811665717,1,migrateDelegatorData,"[""38""]",abi/Migrator.json
0xcbdbba0c45e1458b4b09af941781ca0f2e9afca1f7a76de8b925d8a9a7dbf598,24263719,2024-12-27T16:26:25.000Z,0x50D55e6Ed4146425C52c26521FF14be90bd4d1A5,0xc6B8b1E3EFE8BE4dA79f3C2Cfc36d37d6F3DC8CB,0,169447,0.009511718,0.000001611732079946,1,migrateDelegatorData,"[""22""]",abi/Migrator.json
0x2749bb2e09d3c7ac889221a61705fa61944fa69d7f896b3814d00ed94abea094,24264218,2024-12-27T16:43:03.000Z,0x8dD0513D158508FF152b0Ad45562a22b39644359,0xc6B8b1E3EFE8BE4dA79f3C2Cfc36d37d6F3DC8CB,0,169447,0.009819924,0.000001663956662028,1,migrateDelegatorData,"[""22""]",abi/Migrator.json
