delegator_address,node_identity_id,status,details
0x874d218e6d28534d7af5ff97674be65eda375b18,1,success,0x64e04ba1ebd20db6877f97a494ad18bc23355ca942dd7d4d40ba30540de5e4d6
0xf19fdc795c314f1934210c5e60c0703c16866f7b,1,success,0x1a694e2c5a214497319ef99d0fd4f2c5275dd6692cf7ccf661ab2d47bcb3865c
0xb7ed501cb5a6470caf0b97085b00ddfac601bb59,1,success,0x65cbe41313e28494c4e1f66d9c2597ebd8d95c9d41e34e2d2f568390fd73b2d6
0x2796a1233b6919d833c98f210d4636dd1327c8ce,1,success,0xf764b70f93cf17cbd138d957903ff59a634e6fb7bbee814edf2ddf91994f8f3c
0x1f70ab7a96554f0cc1f6a4c57f2b244e8cba2f92,1,success,0xfa89d42561da1ec416b3720f4fb83713f3cf52222c8748b5f86617b0274ce92d
0x2e1b1e1e91318ea5a6a122b4f5bf07c562c59301,1,success,0x67a1fac21f4b920e93c9df7fa7340805ab535602feb1d29282a045894fccd1d7
0xcf3f1e9d688283c105cf8301eecd905b23e9e807,1,success,0xfb310b2754613d2b7814ede5998941bb8b82aaea95fc50fc1f0ed446d7bd106f
0xba8368d2a17207638ddce6112f4ad03003a28f0a,1,success,0x2cf110c72c786be4f82f0ebb16691a6f5a34a2d5841b3601a121ad937944de29
0xaf0f64222a720840befd808e71f24365c3c66422,1,success,0xc1c65745718aec7ad2311b782002aa704e19d19fcc1854a2ed225798cc6be930
0xd75c8fdd2d14f53848abd34c7c9748dc3e78341a,1,success,0x96e5bdbc66592b8080a74205807d2ae758a1cf214d24b626789d597ec7791b3c
0x851a88571af500482399cc2cc69d9edd48332638,1,success,0xb19efac845326dbfbecd47dafff1db62aab09fb3a7a3ca32915b5abc06c81396
0xadb1a76cdac5f9440dcab127f99af52ab4b996af,1,success,0x9e0541e64e6549293284e5cab16e5064e704b5367c1d7d3b2883dcf6e7011037
